epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.9236060380935669,0.8614596724510193,0.0763932317495346,1e-04,0.9160043001174927,0.9380590319633484,0.9534931182861328,0.9122545719146729,0.04655572399497032,0.9438676238059998,0.9629934430122375
1,0.9488314986228943,0.904120922088623,0.05116594210267067,1e-04,0.9418964982032776,0.9590457677841187,0.9520673155784607,0.9096073508262634,0.047952279448509216,0.9500304460525513,0.9547289609909058
2,0.9558566212654114,0.9166592359542847,0.04414021968841553,1e-04,0.9500699639320374,0.9645980596542358,0.9521860480308533,0.9101199507713318,0.047862760722637177,0.952200174331665,0.9531099796295166
3,0.9609637260437012,0.9258140921592712,0.03903239592909813,1e-04,0.9560630321502686,0.9683946967124939,0.9569557309150696,0.9188218712806702,0.04308772832155228,0.948343813419342,0.9654064178466797
4,0.9648945331573486,0.9330200552940369,0.03510143235325813,1e-04,0.9602518081665039,0.971794605255127,0.9606366157531738,0.9253696799278259,0.03939945995807648,0.9589961171150208,0.9630980491638184
5,0.9689694046974182,0.9404242634773254,0.031025903299450874,1e-04,0.9648586511611938,0.9749219417572021,0.9609988331794739,0.9259451031684875,0.03903193771839142,0.9564933180809021,0.9650676846504211
6,0.9708828926086426,0.943962812423706,0.029113758355379105,1e-04,0.9675348997116089,0.9757340550422668,0.96592777967453,0.9348747134208679,0.03410392999649048,0.9649562835693359,0.9667566418647766
7,0.9747037291526794,0.9510557055473328,0.025292672216892242,1e-04,0.9716162085533142,0.9793248772621155,0.9606902599334717,0.9253950715065002,0.039344802498817444,0.9671708941459656,0.9552639722824097
8,0.9731919169425964,0.9483922123908997,0.02680276334285736,1e-04,0.9702030420303345,0.977674663066864,0.9639149904251099,0.9315752983093262,0.03612154349684715,0.9654141068458557,0.9632377624511719
9,0.9760316610336304,0.9536292552947998,0.023963898420333862,1e-04,0.9729712009429932,0.9803910851478577,0.9603624939918518,0.9253203868865967,0.03967543691396713,0.9668949246406555,0.9548359513282776
10,0.9771482944488525,0.9557695388793945,0.022847160696983337,1e-04,0.9744585752487183,0.9809694886207581,0.9464969038963318,0.9013042449951172,0.05355329066514969,0.9259641766548157,0.9685927629470825
11,0.9785595536231995,0.9583388566970825,0.021437058225274086,1e-04,0.9761689901351929,0.9821127653121948,0.9622300863265991,0.9282627105712891,0.03780001774430275,0.9521223902702332,0.9730828404426575
12,0.9790946245193481,0.9593554139137268,0.02090105228126049,1e-04,0.9768486022949219,0.9824462532997131,0.9607579112052917,0.9257270693778992,0.03928377851843834,0.9579097628593445,0.964905321598053
13,0.9803131818771362,0.9616795778274536,0.01968376711010933,1e-04,0.9783193469047546,0.9834476709365845,0.9665282368659973,0.9360746145248413,0.0335049107670784,0.9687449932098389,0.965411365032196
14,0.9808645248413086,0.9627286195755005,0.019131800159811974,1e-04,0.9789907932281494,0.9837662577629089,0.9660096764564514,0.9350560307502747,0.034016381949186325,0.9705449938774109,0.963333249092102
15,0.9819546937942505,0.9647705554962158,0.018042568117380142,1e-04,0.980270504951477,0.9845969080924988,0.966107964515686,0.9353917241096497,0.033921435475349426,0.9647469520568848,0.969424307346344
