,Image,Accuracy,F1,Jaccard,Recall,Precision
226,pexels-photo-321576_0,0.995292663574219,0.992401758555718,0.984918112930824,0.993478394871479,0.991327453223604
227,pexels-photo-322484_0,0.932140350341797,0.884274348315411,0.792555362494607,0.793907040312124,0.997856408750551
228,pexels-photo-325523_0,0.995395660400391,0.990484899606625,0.981149166783801,0.993013404147698,0.987969238995392
229,pexels-photo-325686_nlDONZXWsV_0,0.985439300537109,0.989184670964086,0.978600781517175,0.985985822012596,0.992404343623856
230,pexels-photo-326603_0,0.989837646484375,0.989545069228596,0.979306487695749,0.989987985582699,0.989102549014993
231,pexels-photo-327253_0,0.996555328369141,0.991976685295921,0.984081092992508,0.99513325608343,0.988840076525189
232,pexels-photo-327538_0,0.957942962646484,0.978519784204199,0.957942962646484,0.999952216174029,0.957986815802725
233,pexels-photo-333994_12TQ3nQsnH_0,0.998561859130859,0.970786516853933,0.943231441048035,0.996658711217184,0.946223564954683
234,pexels-photo-339800_0,0.986366271972656,0.986679090570257,0.973708409042424,0.992099957276809,0.981317141522653
235,pexels-photo-341004_8AgutZKy5e_0,0.996463775634766,0.990535311354563,0.981248103570345,0.987259331623723,0.99383310455039
236,pexels-photo-341392_0,0.991107940673828,0.983457173880645,0.967452770912747,0.991854789069098,0.975200562983814
237,pexels-photo-346692_0,0.981914520263672,0.972448380666794,0.946374237916954,0.999569913026856,0.946759756939337
238,pexels-photo-346693_0,0.996585845947266,0.988972807806513,0.978186161008067,0.989326299701728,0.988619568430387
239,pexels-photo-346736_0,0.992107391357422,0.992074770650987,0.984274172094826,0.990780624775254,0.993372301744373
240,pexels-photo-346750_0,0.948894500732422,0.901159058882552,0.820099638775866,0.907634461337257,0.894775397778885
241,pexels-photo-346808_0,0.989906311035156,0.980716253443526,0.962162162162162,0.994604502653402,0.967210522532883
242,pexels-photo-346842_0,0.966854095458984,0.926358790077209,0.862819703189138,0.949131642931574,0.904653126086309
243,pexels-photo-347024_0,0.967525482177734,0.95890239015936,0.921049458855389,0.92470274950885,0.995728895127331
244,pexels-photo-351699_0,0.994438171386719,0.942202489494965,0.890721031329636,0.959702818380037,0.925328972981391
245,pexels-photo-354946_0,0.991146087646484,0.980531953263267,0.961807441049185,0.985616242011365,0.97549984979472
246,pexels-photo-354957_0,0.987594604492188,0.980116172424335,0.961007661778636,0.971361741322474,0.989029837853846
247,pexels-photo-354972_0,0.989017486572266,0.990164024038182,0.98051965626903,0.991244331046371,0.989086069210293
248,pexels-photo-355005_0,0.995388031005859,0.991189652031335,0.982533192712773,0.989149722197981,0.99323801317346
249,pexels-photo-355036_0,1,1,1,1,1
250,pexels-photo-356170_D2OYiQ5pj5_0,0.995143890380859,0.990145151925682,0.980482644425365,0.988011185440388,0.992288356504469
251,pexels-photo-356176_0,0.989372253417969,0.965100839283477,0.932555437203447,0.94637022478811,0.98458785942492
252,pexels-photo-356842_0,0.995407104492188,0.990441713505446,0.981064418721691,0.99089797150255,0.989985875482059
253,pexels-photo-357275_0,0.754261016845703,0.76691620503877,0.621949788143053,0.994146506195886,0.624235748701215
254,pexels-photo-364362_0,0.957984924316406,0.956519336144141,0.916662252858256,0.934841154092491,0.979226783707979
255,pexels-photo-371163_0,0.987594604492188,0.988422184404839,0.977109392047414,0.995275105037498,0.981662989364109
256,pexels-photo-371218_0,0.951637268066406,0.957932389206695,0.919261264129916,0.993762607312758,0.924595981270697
257,pexels-photo-371248_0,0.989013671875,0.987034969568192,0.974401820315,0.984058023051237,0.990029982299606
258,pexels-photo-372021_0,0.990303039550781,0.986624572480926,0.973602226468389,0.982890570943325,0.990387053156427
259,pexels-photo-373899_0,0.991889953613281,0.987633351559501,0.975568834750632,0.984757795100223,0.990525750822579
260,pexels-photo-374632_0,0.993598937988281,0.97799632835038,0.956940131899715,0.99543537451284,0.961157791638744
261,pexels-photo-374810_0,0.993999481201172,0.995152198769096,0.990351173132955,0.996346671274469,0.993960586826568
262,pexels-photo-374849_0,0.901191711425781,0.854863111180841,0.746516088624442,0.90711474201182,0.808303222319943
263,pexels-photo-374882_0,0.994049072265625,0.984495815857998,0.969465051185187,0.992465684801122,0.976652929229192
264,pexels-photo-374912_0,0.995632171630859,0.990150113983397,0.980492375841213,0.997832683138275,0.982584941096124
265,pexels-photo-375382_0,0.992095947265625,0.987448661877128,0.975208490374146,0.993672583634058,0.981302222543283
266,pexels-photo-375880_0,0.992351531982422,0.993567718609344,0.987217656846682,0.998452531400717,0.988730469872364
267,pexels-photo-377945_0,0.98980712890625,0.990040627679004,0.980277677312686,0.984010906369705,0.996144701214344
